query_id	n_targets	n_intact	n_trimmed	n_skipped	frac_intact	mean_inframe_coverage	gene_name	pfam_id	n_exons_spanned	n_cds_exons	is_single_exon_domain	domain_length_aa	clan	clan_name
PFAM0000000	5	4	1	0	0.8	0.8705999999999999	ARF5	PF00025	6.0	6.0	False	170.0	CL0023	P-loop_NTPase
PFAM0000001	18	10	2	6	0.5555555555555556	0.6553666666666667	M6PR	PF02157	6.0	6.0	False	254.0	CL0226	M6PR
PFAM0000002	32	29	0	3	0.90625	0.9218	ESRRA	PF00105	2.0	6.0	False	69.0	CL0839	Tbcl_zf
PFAM0000003	32	25	0	7	0.78125	0.850675	ESRRA	PF00104	3.0	6.0	False	170.0	PF00104	
PFAM0000004	15	9	1	5	0.6	0.6315066666666667	FKBP4	PF00254	3.0	10.0	False	91.0	CL0487	FKBP
PFAM0000005	15	11	0	4	0.7333333333333333	0.7333333333333333	FKBP4	PF00254	3.0	10.0	False	89.0	CL0487	FKBP
PFAM0000006	15	9	1	5	0.6	0.6666666666666666	FKBP4	PF00515	2.0	10.0	False	32.0	CL0020	TPR
PFAM0000007	15	10	0	5	0.6666666666666666	0.6848466666666667	FKBP4	PF07719	1.0	10.0	True	33.0	CL0020	TPR
PFAM0000008	4	1	1	2	0.25	0.5264249999999999	CYP26B1	PF00067	5.0	6.0	False	394.0	PF00067	
PFAM0000009	12	4	6	2	0.3333333333333333	0.6862583333333334	NDUFAF7	PF02636	6.0	10.0	False	254.0	CL0063	NADP_Rossmann
PFAM0000010	11	4	4	3	0.36363636363636365	0.6868363636363637	FUCA2	PF01120	5.0	7.0	False	338.0	CL0036	TIM_barrel
PFAM0000011	11	10	1	0	0.9090909090909091	0.9451909090909091	FUCA2	PF16757	3.0	7.0	False	89.0	CL0369	GHD
PFAM0000012	6	4	0	2	0.6666666666666666	0.8320666666666666	DBNDD1	PF04440	3.0	4.0	False	131.0	PF04440	
PFAM0000013	6	4	0	2	0.6666666666666666	0.7064666666666666	HS3ST1	PF00685	1.0	1.0	True	240.0	CL0023	P-loop_NTPase
PFAM0000014	13	9	0	4	0.6923076923076923	0.7218846153846153	SEMA3F	PF01403	6.0	18.0	False	189.0	CL0186	Beta_propeller
PFAM0000015	19	15	0	4	0.7894736842105263	0.790778947368421	CFTR	PF00664	6.0	27.0	False	269.0	CL0241	ABC_membrane
PFAM0000016	19	10	2	7	0.5263157894736842	0.5758263157894736	CFTR	PF00005	4.0	27.0	False	135.0	CL0023	P-loop_NTPase
PFAM0000017	19	10	0	9	0.5263157894736842	0.5129368421052631	CFTR	PF14396	2.0	27.0	False	211.0	CL0023	P-loop_NTPase
PFAM0000018	19	12	0	7	0.631578947368421	0.6230842105263158	CFTR	PF00664	7.0	27.0	False	285.0	CL0241	ABC_membrane
PFAM0000019	19	9	1	9	0.47368421052631576	0.524878947368421	CFTR	PF00005	4.0	27.0	False	147.0	CL0023	P-loop_NTPase
PFAM0000020	7	5	0	2	0.7142857142857143	0.7080428571428571	CYP51A1	PF00067	9.0	10.0	False	428.0	PF00067	
PFAM0000029	42	41	1	0	0.9761904761904762	0.9560047619047619	TMEM176A	PF04103	5.0	6.0	False	158.0	CL0347	TSPAN_4TM-like
PFAM0000032	3	3	0	0	1.0	1.0	HSPB6	PF00525	1.0	3.0	True	59.0	PF00525	
PFAM0000033	3	0	2	1	0.0	0.5436666666666666	HSPB6	PF00011	2.0	3.0	False	84.0	CL0190	HSP20
PFAM0000043	10	9	0	1	0.9	0.9051500000000001	PDK4	PF10436	5.0	11.0	False	162.0	PF10436	
PFAM0000044	10	7	3	0	0.7	0.90001	PDK4	PF02518	4.0	11.0	False	121.0	CL0025	His_Kinase_A
PFAM0000045	1	1	0	0	1.0	1.0	CCL26	PF00048	2.0	3.0	False	56.0	CL0730	IL8
PFAM0000046	5	4	1	0	0.8	0.8946	USH1C	PF21219	3.0	27.0	False	74.0	CL0824	HHD
PFAM0000047	5	5	0	0	1.0	1.0	USH1C	PF00595	2.0	27.0	False	77.0	CL0466	PDZ-like
PFAM0000048	5	5	0	0	1.0	0.96286	USH1C	PF00595	4.0	27.0	False	70.0	CL0466	PDZ-like
PFAM0000049	5	4	0	1	0.8	0.8	USH1C	PF00595	3.0	27.0	False	66.0	CL0466	PDZ-like
PFAM0000050	14	13	1	0	0.9285714285714286	0.9667285714285715	RALA	PF00071	4.0	4.0	False	161.0	CL0023	P-loop_NTPase
PFAM0000051	18	12	2	4	0.6666666666666666	0.7944611111111111	BCAP29	PF05529	4.0	7.0	False	131.0	PF05529	
PFAM0000052	18	13	1	4	0.7222222222222222	0.7505111111111111	BCAP29	PF18035	3.0	7.0	False	55.0	PF18035	
PFAM0000053	8	7	1	0	0.875	0.937225	BAIAP2L1	PF08397	8.0	14.0	False	221.0	CL0145	Golgi-transport
PFAM0000054	8	8	0	0	1.0	0.9976	BAIAP2L1	PF14604	2.0	14.0	False	52.0	CL0010	SH3
PFAM0000055	1	0	1	0	0.0	0.7513	CACNG3	PF00822	4.0	4.0	False	189.0	CL0375	Transporter
PFAM0000063	14	12	0	2	0.8571428571428571	0.8797142857142858	DVL2	PF00778	3.0	15.0	False	77.0	CL0072	Ubiquitin
PFAM0000064	14	11	1	2	0.7857142857142857	0.82735	DVL2	PF02377	5.0	15.0	False	155.0	PF02377	
PFAM0000065	14	11	0	3	0.7857142857142857	0.8295285714285715	DVL2	PF00595	3.0	15.0	False	75.0	CL0466	PDZ-like
PFAM0000066	14	11	0	3	0.7857142857142857	0.7857142857142857	DVL2	PF00610	2.0	15.0	False	70.0	CL0123	HTH
PFAM0000067	14	11	0	3	0.7857142857142857	0.7857142857142857	DVL2	PF12316	3.0	15.0	False	212.0	PF12316	
PFAM0000068	8	7	0	1	0.875	0.9007375	RPAP3	PF00515	2.0	16.0	False	34.0	CL0020	TPR
PFAM0000069	8	8	0	0	1.0	1.0	RPAP3	PF00515	2.0	16.0	False	33.0	CL0020	TPR
PFAM0000070	8	8	0	0	1.0	1.0	RPAP3	PF13432	3.0	16.0	False	56.0	CL0020	TPR
PFAM0000071	8	8	0	0	1.0	1.0	RPAP3	PF13181	2.0	16.0	False	31.0	CL0020	TPR
PFAM0000072	8	8	0	0	1.0	0.9876375	RPAP3	PF13877	3.0	16.0	False	91.0	PF13877	
PFAM0000075	10	7	1	2	0.7	0.7849999999999999	SKAP2	PF00169	4.0	12.0	False	100.0	CL0266	PH
